#,Country,Population,Land Area,Density
162,South Africa,59308690,"1,213,090",49.0
163,South Korea,51269185,97.23,527.0
164,South Sudan,11193725,610.952,18.0
165,Spain,46754778,498.8,94.0
166,Sri Lanka,21413249,62.71,341.0
167,Sudan,43849260,"1,765,048",25.0
168,Suriname,586632,156,4.0
169,Sweden,10099265,410.34,25.0
170,Switzerland,8654622,39.516,219.0
171,Syria,17500658,183.63,95.0
172,Tajikistan,9537645,139.96,68.0
173,Tanzania,59734218,885.8,67.0
174,Thailand,69799978,510.89,137.0
175,Timor-Leste,1318445,14.87,89.0
176,Togo,8278724,54.39,152.0
177,Tonga,105695,720,147.0
178,Trinidad and Tobago,1399488,5.13,273.0
179,Tunisia,11818619,155.36,76.0
180,Turkey,84339067,769.63,110.0
181,Turkmenistan,6031200,469.93,13.0
182,Tuvalu,11792,30,393.0
183,Uganda,45741007,199.81,229.0
184,Ukraine,43733762,579.32,75.0
185,United Arab Emirates,9890402,83.6,118.0
186,United Kingdom,67886011,241.93,281.0
187,United States of America,331002651,"9,147,420",36.0
188,Uruguay,3473730,175.02,20.0
189,Uzbekistan,33469203,425.4,79.0
190,Vanuatu,307145,12.19,25.0
191,Venezuela,28435940,882.05,32.0
192,Vietnam,97338579,310.07,314.0
193,Yemen,29825964,527.97,56.0
194,Zambia,18383955,743.39,25.0
195,Zimbabwe,14862924,386.85,38.0
